publishedAt,sentiment_score
2026-02-28,-0.35313432835820896
2026-03-01,-0.234
2026-03-02,-0.21987012987012985
2026-03-03,-0.260625
2026-03-04,-0.33436619718309857
2026-03-05,-0.3394047619047619
2026-03-06,-0.23142857142857143
2026-03-07,-0.17842105263157895
2026-03-08,-0.24548780487804878
2026-03-09,-0.25054054054054054
2026-03-10,-0.3117333333333333
2026-03-11,-0.2319767441860465
2026-03-12,-0.38
2026-03-13,-0.375
2026-03-14,-0.48863636363636365
2026-03-15,-0.42848837209302326
2026-03-16,-0.32616279069767445
2026-03-17,-0.35892857142857143
2026-03-18,-0.3601190476190476
2026-03-19,-0.32564102564102565
2026-03-20,-0.435
2026-03-21,-0.2616279069767442
2026-03-22,-0.6018181818181818
2026-03-23,-0.2788690476190476
2026-03-24,-0.3566666666666667
2026-03-25,-0.2912790697674419
2026-03-26,-0.32850574712643676
2026-03-27,-0.42777777777777776
